Title ,Summary,Outcome type,Market sector,Open date,Closed date,Archive URL
Aberdeen Journals Ltd: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter II,Communications,16/07/01,15/07/01,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/aberdeen-journals
Access control and alarm systems: collusive tendering,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter II,"Fire, police, and security",01/04/11,06/12/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/access-control-alarms/
Airline passenger fuel surcharges on long-haul flights: price-fixing   ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Transport,01/03/06,19/04/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/fuel-surcharges/
Aluminium double glazing spacer bars: anti-competitive agreements / practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,01/04/02,28/06/06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/bars
United Utilities Electricity plc  ,,No gounds for action/non-infringement,Utilities,29/01/03,10/02/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/united-utilities-electricity-plc
Anaesthetists' groups: investigation into anti-competitive agreements,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Healthcare and medical equipment,01/05/01,14/04/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/anaesthetists-groups
Argos/Littlewods/Hasbro: price-fixing of Hasbro toys and games  ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Retail and wholesale,01/03/01,02/12/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/argos2
Arriva plc and FirstGroup: market-sharing agreement for bus routes,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Transport,,05/02/02,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/arriva
Associated Newspapers Ltd: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,"No grounds for action/non-infringement
",Communications,14/02/03,02/03/06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/anl
Association of British Insurers: general terms of agreement,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Financial services,13/11/02,21/04/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/abi
Attheraces: investigation into collective selling of media rights ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Communications,15/11/01,09/05/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/attheraces
British Airways: alleged abuse of a dominant position in corporate deals,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities ,Transport,01/05/04,30/04/07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/British-Airways2
British Airways: reduction of booking payments to travel agents for short haul flights ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Transport,01/06/02,12/12/02,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/ba
British Airways: alleged predation on the London City to Edinburgh route  ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Transport,01/10/03,31/03/07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/British-Airways
BSkyB: investigation into alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Telecommunications,17/12/02,12/08/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/bskyb
Business continuity services: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Distribution and Services Industries ,31/01/13,01/08/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/business-continuity/
CH Jones's provision of bunker fuel cards: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Retail and wholesale,01/04/10,01/10/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/bunker-fuels/
Commercial vehicle manufacturers: Chapter I civil cartel investigation ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Motor Industry ,01/09/10,15/06/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98-current/commercial-vehicle-civil/
