Year,Title,Summary,Case type,Outcome type,Market sector,Open date,Closed date,Archive URL
2003,AAH Pharmaceuticals Ltd / East Anglian Pharmaceuticals Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Pharmaceuticals,3.12.03,23.12.03,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/aah-pharmaceuticals-limited-east-anglian-pharmaceuticals-limited
2013,AEG / Wembley Arena merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Distribution and service industries,22.03.13,02.09.13,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/aeg-wembley-arena
2013,AG Barr / Britvic merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Food manufacturing ,13.02.13,09.07.13,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/ag-barr-britvic
2011,Alpha Flight Group Ltd / LSG Lufthansa Service Holding AG merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Distribution and service industries,10.10.11,14.03.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/alpha-flight-group-limited-lsg-lufthansa-service-holding-ag-merger-inquiry
2004,Anglo American plc / Johnston Group plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Building and Construction,29.09.04,08.11.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/anglo-american-plc-johnston-group-plc
2004,Arcelor SA / Corus Group plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Engineering,10.09.04,10.02.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/arcelor-sa-corus-uk-limited
2004,Archant Ltd / Independent News and Media PLC merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Communications ,29.04.04,22.09.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/archant-ltd-independent-news-and-media-plc
2005,Ardagh International Holdings Ltd / Redfearn Glass Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Paper printing and packaging,01.08.05,20.12.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/ardagh-international-holdings-redfearn-glass
2004,Arriva Plc / Sovereign Bus & Coach Company Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Transport,03.08.04,07.01.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/arriva-plc-sovereign-bus-coach-company-ltd
2007,BAA airports market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Aerospace,29.03.07,19.03.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/baa-airports
2011,BATS Trading Ltd / Chi-X Europe Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Financial services,20.06.11,24.11.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bats-trading-chix-europe
2008,"BBC Worldwide Ltd, Channel Four Television Corporation and ITV plc joint venture (CC)",Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Telecommunications ,30.06.08,04.02.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bbc-c4-itv-joint-venture
2008,BOC Ltd / Ineos Chlor Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Chemicals ,29.05.08,18.12.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/boc-limited-ineos-chlor-limited
2012,Booker / Makro merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Distribution and service industries,08.11.12,19.04.13,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/booker-makro
2004,Bretagne-Angleterre-Irlande S.A. / P&O Ferries merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Transport,07.12.04,04.03.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bretagne-angleterre-irlande-sa-po
2009,Brightsolid Group Ltd / Friends Reunited Holdings Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Communications ,03.11.09,18.03.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/brightsolid-friendsreunited
2010,Bristol Water Plc price determination ,Closed Competition Commission (CC) regulatory reference investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Utilities,08.02.10,14.09.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bristol-water-plc-water-price-limits-determination
2005,British Salt Ltd / New Cheshire Salt Works Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,"Mineral extraction, mining and quarrying",26.05.05,08.11.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/british-salt-new-cheshire-salt-works
2007,British Sky Broadcasting Group PLC / ITV PLC merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,Telecommunications ,24.05.07,20.12.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bskyb-itv
2005,Bucher Industries AG / Johnston Sweepers Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Engineering,06.04.05,15.09.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bucher-industries-ag-johnston-sweepers-limited
2008,Capita Group plc / IBS OPENSystems plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Distribution and service industries,19.11.08,04.06.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/capita-group-plc-ibs-opensystems-plc
2003,Carl Zeiss GmbH / Bio-Rad Laboratories Inc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Healthcare and medical equipment,30.12.03,17.05.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/carl-zeiss-gmbh-bio-rad-laboratories-inc
2006,CBS Private Capital Ltd / Hampden Agencies Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Financial services,14.07.06,01.12.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/cbs-private-capital-ltd-hampden-agencies-ltd
2008,CineWorld Group plc / Hollywood Green Leisure Park merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Recreation and leisure,17.03.08,02.04.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/cineworld-group-plc-hollywood-green-leisure-park-wood-green
2005,Classified directory advertising services market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Communications ,05.04.05,21.12.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/classified-directory-advertising-services
2006,Clifford Kent Holdings Ltd / Deans Food Group Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition ,Food manufacturing ,13.09.06,20.04.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/clifford-kent-holdings-deans-food-group
2004,ConvaTec Ltd / Acordis Speciality Fibres Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Healthcare and medical equipment,12.02.04,29.03.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/convatec-limited-acordis-speciality-fibres-limited
2005,Cott Beverages Ltd / Macaw (Holdings) Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Food manufacturing ,28.11.05,28.04.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/cott-macaw
2012,DCC / Rontec merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Oil and gas refining and petrochemicals,04.04.12,04.09.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/dcc-rontec-merger-inquiry
