Take over?,Ref,Title (65 characters inc spaces),Outcome,Market sector,Open date,Decision date,Archive URL,Notes
Yes,CRE-E/28806,Accommodation booking websites: breaches of consumer protection law,Undertakings,Recreation and Leisure,01/06/13,01/01/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/air-travel/,
Yes,,Acorn Mobility Services Ltd: consumer terms and conditions,Undertakings,Healthcare and medical equipment,01/02/12,01/02/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/acorn/,
Yes,CRE-E/25810,Adaptive Affinity: lack of transparency of fees for membership schemes ,Undertakings,Retail and wholesale,01/06/10,01/10/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/adaptive-affinity/,
Yes,CRE-E/17562,Ashbourne Management Services: consumer contracts,Undertakings,Recreation and Leisure,01/09/05,01/08/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/ashbourne/,
Yes,CRE-E-25603,Business networking services: misleading online selling and non-provision of services,No action,Distribution and Services Industries ,01/03/10,01/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/business-networking/,
Yes,"CRE-E/27863, CRE-E/27864",Carpet and flooring retailers: pricing practices,No action,"Household goods, furniture and furnishings",01/04/12,01/01/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/carpet-flooring/,
Yes,CRE-E/25462,"CC Automotive Group: sale of vehicles, finance and guarantees",Undertakings,Motor industry,01/05/09,01/10/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/cc-automotive/,
Yes,CRE-E/24874,Fairhold leasehold retirement properties: transfer fee terms ,Undertakings,Distribution and Services Industries ,01/06/09,01/08/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/fairhold/,
Yes,CRE-E-24580,FIFA World Cup 2010 tickets: sales by unauthorised traders,Undertakings,Retail and wholesale,01/12/09,01/07/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/fifa/,
Yes,,Foxtons: lettings agreements with consumer landlords,Court order,Distribution and Services Industries ,01/02/08,01/02/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/foxtons/,
Yes,CRE-E/24531,Friedrich Mueller prize draw mailings ,Court order,Retail and wholesale,01/02/09,01/04/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/euro-prize-draw/,
Yes,CMG/0039 & CRE-E/28859,Furniture and carpet businesses: misleading reference pricing,Undertakings,"Household goods, furniture and furnishings",Nov 2012 & Apr 2012,01/03/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/furniture-carpet/,
Yes,CRE/0648,Government services: deceptive online selling,No action,Retail and wholesale,01/07/11,01/11/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/government-services/,
Yes,CRE-E-25932,Handpicked Media Ltd: disclosure of commercial blogging activity ,Undertakings,Communications,01/07/10,01/12/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/handpicked_media/,
Yes,CRE-E-24905,Hanover Housing Association retirement properties: transfer fee terms,Undertakings,Distribution and Services Industries ,01/07/09,01/04/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/hanover/,
Yes,CRE-E/24987,Hart leasehold retirement properties: transfer fee terms ,Undertakings,Distribution and Services Industries ,01/07/09,01/12/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/hart/,
Yes,MP-G & c/0004,Health and fitness clubs contracts ,Undertakings,Recreation and Leisure,01/07/12,10/09/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/health-contracts/,
Yes,"CRE-E-26547, 26555, 26760, 26761",Heating oil distributors websites: investigation into transparency,Undertakings,Oil and Gas refining and Petrochemicals,01/01/11,01/09/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/heating-oil/,
Yes,CRE-E-24584,Incentive Leisure Group: timeshare products ,Court order,Recreation and Leisure,01/01/09,01/09/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/ILG/,
Yes,"MP-SIP18-21, MP-SIP23",LPG suppliers: contracts for the domestic supply ,Undertakings,Oil and Gas refining and Petrochemicals,01/11/11,01/03/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/lpg/,
Yes,CRE-E/26233,Marko Media Ltd on the Groupola website: use of bait advertising,Undertakings,Distribution and Services Industries ,01/07/10,01/03/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/bait-advertising/,
Yes,CRE-E/26641,Mileage correction services: compliance with consumer protection legislation ,Court order,Retail and wholesale,01/02/11,01/11/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/mileage-correction/,Also need to add prosecution table on this page: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/about-the-oft/legal-powers/prosecutions/mileage-adjustment 
Yes,MP-G&C/008,Mileage correction services: compliance review ,Court order,Retail and wholesale,01/11/12,01/03/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/mileage-compliance-review/,
Yes,CRE-E/26921,Mobilty aids sector: unfair practices (consumer enforcement),Undertakings,Healthcare and medical equipment,01/04/11,01/02/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/mobility-aids-market/,
Yes,,Modelling agencies: investigation into alleged misconduct of certain traders,Undertakings,"Clothing, footwear and fashion",01/01/09,01/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/modelling-entertainment/,
Yes,CRE-E/26745,MoreNiche: promotion of products by affiliate marketing businesses ,Undertakings,Distribution and Services Industries ,01/06/11,01/04/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/affliliate-marketing/,
Yes,CRE-E-26964,MyCityDeal Ltd (Groupon UK): trading practices,Undertakings,Retail and wholesale,01/07/11,01/06/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/groupon/,
