Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL,,
Go North East / Northumbria Coaches ,OFT closed case: Completed acquisition by Go North East of Northumbria Coaches ,Mergers,Transport,Mergers - phase 1 found not to qualify,28-Nov-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/GoNorthEast,,
SWX Group / SIS Swiss Financial Services Group AG / Telekurs Holding AG ,"OFT closed case: Anticipated merger between SWX Group, SIS Swiss Financial Services Group AG and Telekurs Holding AG ",Mergers,Financial services,Mergers - phase 1 found not to qualify,1-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/SWX,,
First Potteries Ltd / Chester City Transport Ltd ,OFT closed case: Completed acquisition by First Potteries Limited of Chester City Transport Limited ,Mergers,Transport,Mergers - phase 1 found not to qualify,6-Sep-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/First-Potteries,,
British Sky Broadcasting Group plc / Sky Digital Supplies Ltd / Amstrad plc ,OFT closed case: British Sky Broadcasting Group plc / Sky Digital Supplies Limited / Amstrad plc ,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,24-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/British-Sky,,
Darwin Mezzanine Ltd / Manrose Manufacturing Ltd ,OFT closed case: Completed acquisition by Darwin Mezzanine Limited of Manrose Manufacturing Limited ,Mergers,Building and construction,Mergers - phase 1 found not to qualify,17-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Darwin,,
Landmark Information Group Ltd / Quest End Computer Services Ltd ,"OFT closed case: Completed acquisition by Landmark Information Group Limited of Quest End Computer Services Limited, Quest Systems Development Limited and Cywood Management Limited (Quest Associates) ",Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,1-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Landmark,,
City College Manchester / Manchester College of Arts and Technology ,OFT closed case: Anticipated merger of City College Manchester and Manchester College of Arts and Technology ,Mergers,Communications,Mergers - phase 1 found not to qualify,3-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/City,,
SSP Holdings plc / Sirius Financial Solutions plc ,OFT closed case: Anticipated acquisition by SSP Holdings plc of Sirius Financial Solutions plc ,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,26-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/SSP,,
Admiral Taverns / Punch Taverns ,OFT closed case: Completed acquisition by Admiral Taverns of 869 pubs from Punch Taverns ,Mergers,Recreation and Leisure,Mergers - phase 1 found not to qualify,14-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Admiral,,
Associated British Foods plc / Nutrition Trading (International) Ltd ,OFT closed case: Anticipated acquisition by Associated British Foods plc of Nutrition Trading (International) Ltd ,Mergers,"Agriculture, environment and natural resources",Mergers - phase 1 found not to qualify,6-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/associated-british,,
Parcelnet Ltd / Redcats (UK) Courier Network / Redcats (Brands) Ltd ,OFT closed case: Anticipated acquisition by Parcelnet Ltd of the Redcats (UK) Courier Network business and related assets of Redcats (Brands) Ltd ,Mergers,Distribution and Service Industries,Mergers - phase 1 found not to qualify,24-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Parcelnet,,
Guildford AcquisitionCo Ltd / Computer Software Group plc ,OFT closed case: Anticipated acquisition by Guildford AcquisitionCo Limited of Computer Software Group plc ,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,23-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Guildford,,
Itron Inc / Actaris Metering Systems SA ,OFT closed case: Anticipated acquisition by Itron Inc of Actaris Metering Systems SA ,Mergers,Engineering,Mergers - phase 1 found not to qualify,23-Mar-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Itron,,
Blackwell Publishing (Holdings) Ltd / Wiley Europe Investment Holdings Ltd ,OFT closed case: Completed acquisition of Blackwell Publishing (Holdings) Limited by Wiley Europe Investment Holdings Limited ,Mergers,Paper printing and packaging,Mergers - phase 1 found not to qualify,23-Mar-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Blackwell,,
Impala Platinum Holdings Ltd / African Platinum plc ,OFT closed case: Anticipated acquisition by Impala Platinum Holdings Limited of African Platinum plc ,Mergers,"Agriculture, environment and natural resources",Mergers - phase 1 found not to qualify,21-Mar-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Impala,,
TDR Capital LLP / Wraith plc ,OFT closed case: Anticipated acquisition by TDR Capital LLP of Wraith plc ,Mergers,Building and construction,Mergers - phase 1 found not to qualify,2-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/TDR,,
Brocade Communications Systems Inc / McDATA Corporation ,OFT closed case: Completed acquisition by Brocade Communications Systems Inc of McDATA Corporation ,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,1-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Brocade,,
Sky Holdings Ltd / 365MediaGroup plc ,OFT closed case: Anticipated acquisition by Sky Holdings Limited (a wholly owned subsidiary of British Sky Broadcasting Group plc) of 365MediaGroup plc ,Mergers,Recreation and Leisure,Mergers - phase 1 found not to qualify,19-Jan-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Sky-Holdings,,
