Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
Nuclear Management Partners Ltd / Sellafield Ltd ,OFT closed case: Anticipated contract award to Nuclear Management Partners Limited as the Parent Body Organisation for Sellafield Limited ,Mergers,Energy,Mergers - phase 1 found not to qualify,23-Oct-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/Nuclear
EirGrid plc / SONI Ltd ,OFT closed case: Anticipated acquisition by EirGrid plc of SONI Limited ,Mergers,Energy,Mergers - phase 1 found not to qualify,17-Oct-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/EriGrid
Universal Music Publishing Ltd / Big Life Music Ltd ,OFT closed case: Completed acquisition by Universal Music Publishing Limited of Big Life Music Limited ,Mergers,Paper printing and packaging,Mergers - phase 1 found not to qualify,9-Jul-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/Universal
BUPA Group / Cromwell Hospital ,OFT closed case: Completed acquisition by the BUPA Group of the Cromwell Hospital ,Mergers,Healthcare and medical equipment,Mergers - phase 1 found not to qualify,24-Jun-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/BUPA
GFI Group Inc / Trayport Ltd ,OFT closed case: Completed acquisition by GFI Group Inc of Trayport Limited ,Mergers,Financial services,Mergers - phase 1 found not to qualify,28-May-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/GFI
Kaplan Financial Ltd / Hawksmere Ltd ,OFT closed case: Completed acquisition by Kaplan Financial Ltd of Hawksmere Ltd ,Mergers,Communications,Mergers - phase 1 found not to qualify,10-Apr-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/Kaplan
Cascades Italia SrL / Reno de Medici SpA ,OFT closed case: Anticipated merger between Cascades Italia SrL and Reno de Medici SpA ,Mergers,Paper printing and packaging,Mergers - phase 1 found not to qualify,22-Feb-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/Cascades
Nokia Siemens Networks UK Ltd / Apertio Ltd ,OFT closed case: Anticipated acquisition by Nokia Siemens Networks UK Limited of Apertio Limited ,Mergers,Telecommunications,Mergers - phase 1 found not to qualify,12-Feb-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/Nokia
Metrobus Ltd / FirstGroup in Orpington ,OFT closed case: Completed acquisition by Metrobus Limited of the bus operations of FirstGroup in Orpington ,Mergers,Transport,Mergers - phase 1 found not to qualify,18-Jan-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/Metrobus
Tesco Stores Ltd / Brian Ford Discount Stores Ltd ,OFT closed case: Completed acquisition by Tesco Stores Limited of Brian Ford Discount Store Limited ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,22-Dec-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/tesco-brianford
Republic Technologies International SAS / Swedish Match UK Ltd ,OFT closed case: Anticipated acquisition by Republic Technologies International SAS of Swedish Match UK Limited ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,19-Dec-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/republic-technologies
Goodrich Corporation / Rolls-Royce plc ,OFT closed case: Anticipated joint venture between Goodrich Corporation and Rolls-Royce plc ,Mergers,Transport,Mergers - phase 1 clearance,8-Dec-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/goodrich
Nationwide Building Society / Derbyshire Building Society ,OFT closed case: Anticipated acquisition by Nationwide Building Society of Derbyshire Building Society ,Mergers,Financial services,Mergers - phase 1 clearance,19-Nov-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/nationwide-derbyshire
Nationwide Building Society / Cheshire Building Society ,OFT closed case: Anticipated acquisition by Nationwide Building Society of Cheshire Building Society ,Mergers,Financial services,Mergers - phase 1 clearance,19-Nov-08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2008/nationwide-cheshire
