Title,Summary,Case type,Outcome,New CMA market sector,Closed date,Archive URL,,,,,
AB Agri Ltd / JE Porter Ltd ,,Mergers,Mergers - phase 1 clearance,"Agriculture, environment and natural resources",4/17/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/ab-agri,,,,,
Aggregate Industries Limited / Atlantic Aggregates Limited / Stone Haul Limited,,Mergers,Mergers - phase 1 clearance with undertakings in lieu,"Mineral extraction, mining ang quarrying",3/3/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Aggregate,,,,,
Alliance Boots Limited / Dollond & Aitchison Limited,,Mergers,Mergers - phase 1 clearance,Healthcare and medical equipment,5/1/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/boots,,,,,
Ambassador Theatres Group / Former Live Nation Theatres,,Mergers,Mergers - phase 1 clearance,Recreation and Leisure,2/10/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Ambassador,,,,,
Apollo Global Inc / BPP Holdings plc,,Mergers,Mergers - phase 1 clearance,Communications,7/1/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Apollo,,,,,
Arqiva Ltd / Digital One Limited ,,Mergers,Mergers - phase 1 clearance,Recreation and Leisure,6/5/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Arqiva,,,,,
Arriva Northumbria / Go North East,,Mergers,Mergers - phase 1 clearance,Transport,2/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Arriva,,,,,
Asda Stores / Co-operative Group,,Mergers,Mergers - phase 1 clearance,Retail and wholesale,12/23/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Asda,,,,,
Atlas Copco Kolfor Limited / Aggreko plc,,Mergers,Mergers - phase 1 clearance,Distribution and Service Industries,2/18/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Atlas,,,,,
Atlas Elektronik GmBH UK / Qinetiq's UWs Winfrith Division,,Mergers,,Defence,6/25/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/AtlasElektronik,,,,,
Brightsolid / Friends Reunited,,Mergers,Mergers - phase 1 referral,Communications,11/2/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Brightsolid,,,,,
Buzz Asia / Club Asia London,,Mergers,Mergers - phase 1 found not to qualify,Communications,12/16/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Buzz,,,,,
C & C Group / Tennent's,,Mergers,,,11/30/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Tennent's,,,,,
Canada Pension Plan Investment Board / Macquarie Communications Infrastructure Group,,Mergers,Mergers - phase 1 clearance,Communications,5/21/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/canada-macquarie,,,,,
Carpetright / Allied Carpets,,Mergers,Mergers - phase 1 found not to qualify,"Household goods, furniture and furnishings",11/19/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Carpetright,,,,,
