Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
Accraply / Turpins Packaging Group Ltd,,Mergers,Paper printing and packaging,Mergers - phase 1 found not to qualify,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/accraply
Capital Shopping Centres / Broadmarsh Retail Ltd Partnership,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/capital
CitySprint / Lewis Day Transport plc,,Mergers,Transport,Mergers - phase 1 found not to qualify,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/CitySprint
J Sainsbury plc / Rontec Investments LLP,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Sainsbury
Lion Capital LLP / Cumbrian Holdings Ltd ,,Mergers,Food manufacturing,Mergers - phase 1 clearance,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/LionCapital
Mortgage Brain / MortgageStream Ltd ,,Mergers,Financial services,Mergers - phase 1 clearance,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/mortgage-brain
PHS Group - Direct,,Mergers,"Household goods, furniture and furnishings",Mergers - phase 1 clearance,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/phs3
Rontec /Total Downstream UK / Total UK Ltd ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance with undertakings in lieu,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Rontec2
Ryanair/ Aer Lingus Group plc ,,Mergers,Transport / Aerospace,Mergers - phase 1 referral,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Ryanair
VPS / SitexOrbis Holdings Ltd ,,Mergers,Distribution and service industries,Mergers - phase 1 referral,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/VPS
Wärtsilä Corporation / Hamworthy plc,,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 found not to qualify,2012,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/wartsila
IQE plc / Kopin Wireless,,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify ,2013,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/IQE
Oxford University Press / Nelson Thornes Ltd,,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,2013,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/oxford-university-press
Shell UK / Petroplus Refining and Marketing ,,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 found not to qualify,2013,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/shell
